Resource Provider,Resource Type,Operation Name,Operation Display Name,Operation Description,Data Action
Microsoft.ADHybridHealthService,reports/badpassword,Microsoft.ADHybridHealthService/reports/badpassword/read,Gets the list of bad password attempts.,Gets the list of bad password attempts for all the users in Active Directory Federation Service.,false
Microsoft.ADHybridHealthService,reports/consentedtodevopstenants,Microsoft.ADHybridHealthService/reports/consentedtodevopstenants/read,Gets the list of DevOps consented tenants.,Gets the list of DevOps consented tenants. Typically used for customer support.,false
Microsoft.ADHybridHealthService,reports/isdevops,Microsoft.ADHybridHealthService/reports/isdevops/read,Gets a value indicating wheather the teannt is DevOps Consented or not.,Gets a value indicating wheather the teannt is DevOps Consented or not.,false
Microsoft.ADHybridHealthService,reports/selectdevopstenant,Microsoft.ADHybridHealthService/reports/selectdevopstenant/read,Updates userid(objectid) for the selected dev ops tenant.,Updates userid(objectid) for the selected dev ops tenant.,false
Microsoft.ADHybridHealthService,reports/selecteddeployment,Microsoft.ADHybridHealthService/reports/selecteddeployment/read,Gets selected deployment.,Gets selected deployment for the given tenant.,false
Microsoft.ADHybridHealthService,reports/tenantassigneddeployment,Microsoft.ADHybridHealthService/reports/tenantassigneddeployment/read,Gets tenant storage mapping.,Given a tenant id gets the tenant storage location.,false
Microsoft.ADHybridHealthService,reports/updateselecteddeployment,Microsoft.ADHybridHealthService/reports/updateselecteddeployment/read,Gets the browsing location for the users.,Gets the geo location from which data will be accessed.,false
Microsoft.ADHybridHealthService,operations,Microsoft.ADHybridHealthService/operations/read,Gets operations.,Gets list of operations supported by system.,false
Microsoft.ADHybridHealthService,services,Microsoft.ADHybridHealthService/services/write,Creates a service.,Creates a service instance in the tenant.,false
Microsoft.ADHybridHealthService,services,Microsoft.ADHybridHealthService/services/read,Reads services.,Reads the service instances in the tenant.,false
Microsoft.ADHybridHealthService,services,Microsoft.ADHybridHealthService/services/delete,Deletes service.,Deletes a service instance in the tenant.,false
Microsoft.ADHybridHealthService,services,Microsoft.ADHybridHealthService/services/servicemembers/action,Creates a server.,Creates or updates a server instance in the service.,false
Microsoft.ADHybridHealthService,services/alerts,Microsoft.ADHybridHealthService/services/alerts/read,Reads the service alerts.,Reads the alerts for a service.,false
Microsoft.ADHybridHealthService,services/alerts,Microsoft.ADHybridHealthService/services/alerts/read,Reads the service alerts.,Reads the alerts for a service.,false
Microsoft.ADHybridHealthService,services/feedbacktype/feedback,Microsoft.ADHybridHealthService/services/feedbacktype/feedback/read,Gets alerts feedback.,Gets alerts feedback for a given service and server.,false
Microsoft.ADHybridHealthService,services/ipAddressAggregates,Microsoft.ADHybridHealthService/services/ipAddressAggregates/read,Reads ipAddressAggregates.,Reads the bad IPs which attempted to access the service.,false
Microsoft.ADHybridHealthService,services/ipAddressAggregateSettings,Microsoft.ADHybridHealthService/services/ipAddressAggregateSettings/read,Reads ipAddressAggregateSettings.,Reads alarm thresholds for bad IPs.,false
Microsoft.ADHybridHealthService,services/ipAddressAggregateSettings,Microsoft.ADHybridHealthService/services/ipAddressAggregateSettings/write,Writes ipAddressAggregateSettings.,Writes alarm thresholds for bad IPs.,false
Microsoft.ADHybridHealthService,services/metricmetadata,Microsoft.ADHybridHealthService/services/metricmetadata/read,Gets the list of supported metrics for a given service.,"Gets the list of supported metrics for a given service. For example Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFS service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomainService. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for ADSync service.",false
Microsoft.ADHybridHealthService,services/metrics/groups,Microsoft.ADHybridHealthService/services/metrics/groups/read,Gets information about different service metrics.,"Given a service, this API gets the metrics information.For example, this API can be used to get information related to: Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFederation service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomain Service. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for Sync Service.",false
Microsoft.ADHybridHealthService,services/metrics/groups/average,Microsoft.ADHybridHealthService/services/metrics/groups/average/read,Gets average view for metrics and performance data.,"Given a service, this API gets the average for metrics for a given service.For example, this API can be used to get information related to: Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFederation service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomain Service. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for Sync Service.",false
Microsoft.ADHybridHealthService,services/metrics/groups/sum,Microsoft.ADHybridHealthService/services/metrics/groups/sum/read,Gets aggregated view for metrics and performance data.,"Given a service, this API gets the aggregated view for metrics for a given service.For example, this API can be used to get information related to: Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFederation service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomain Service. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for Sync Service.",false
Microsoft.ADHybridHealthService,services/monitoringconfiguration,Microsoft.ADHybridHealthService/services/monitoringconfiguration/write,Add or updates monitoring configuration for a service.,Add or updates monitoring configuration for a service.,false
Microsoft.ADHybridHealthService,services/monitoringconfigurations,Microsoft.ADHybridHealthService/services/monitoringconfigurations/read,Gets monitoring configurations for a service,Gets the monitoring configurations for a given service.,false
Microsoft.ADHybridHealthService,services/monitoringconfigurations,Microsoft.ADHybridHealthService/services/monitoringconfigurations/write,Add or updates monitoring configurations for a service.,Add or updates monitoring configurations for a service.,false
Microsoft.ADHybridHealthService,services/premiumcheck,Microsoft.ADHybridHealthService/services/premiumcheck/read,Gets onboarded services for premium tenants.,This API gets the list of all onboarded services for a premium tenant.,false
Microsoft.ADHybridHealthService,services/reports,Microsoft.ADHybridHealthService/services/reports/generateBlobUri/action,Initiate generation of new risky IP report.,Generates Risky IP report and returns a URI pointing to it.,false
Microsoft.ADHybridHealthService,services/reports/blobUris,Microsoft.ADHybridHealthService/services/reports/blobUris/read,Gets all Risky IP report URIs.,Gets all Risky IP report URIs for the last 7 days.,false
Microsoft.ADHybridHealthService,services/reports/details,Microsoft.ADHybridHealthService/services/reports/details/read,Gets report for bad password.,Gets report of top 50 users with bad password errors from last 7 days,false
Microsoft.ADHybridHealthService,services/checkservicefeatureavailibility,Microsoft.ADHybridHealthService/services/checkservicefeatureavailibility/read,Gets if a feature is enabled for a service.,Given a feature name verifies if a service has everything required to use that feature.,false
Microsoft.ADHybridHealthService,services/exporterrors,Microsoft.ADHybridHealthService/services/exporterrors/read,Gets the export errors for a given sync service.,Gets the export errors for a given sync service.,false
Microsoft.ADHybridHealthService,services/exportstatus,Microsoft.ADHybridHealthService/services/exportstatus/read,Gets the export status for a given service.,Gets the export status for a given service.,false
Microsoft.ADHybridHealthService,services/servicemembers,Microsoft.ADHybridHealthService/services/servicemembers/read,Reads a server.,Reads the server instance in the service.,false
Microsoft.ADHybridHealthService,services/servicemembers,Microsoft.ADHybridHealthService/services/servicemembers/delete,Deletes server.,Deletes a server instance in the service.,false
Microsoft.ADHybridHealthService,services/servicemembers/alerts,Microsoft.ADHybridHealthService/services/servicemembers/alerts/read,Reads the server alerts.,Reads the alerts for a server.,false
